RA,FASE_NUM,TEMPO_PROGRAMA,DEFASAGEM_ANALISE,STATUS_DEFASAGEM_2024,IDA,IEG,IAA_MODELO,IPS,IPP,IPV,INDE_2024,PEDRA_2024,PROB_RISCO_2025,RANK_RISCO_2025,PERCENTIL_RISCO_2025,RANK_RISCO_FASE_2025,PERCENTIL_RISCO_FASE_2025,PRIORIDADE_2025,PERFIL_RADAR,RISCO_OCULTO,PONTO_CEGO,STATUS_MODELO
RA-918,0,1,-1,Com defasagem,2.75,8.697368421,7.918,2.51,5.9375,6.156666667,5.657357017600001,Quartzo,0.8934445954976136,106,90.04,30,85.2,Muito alta,Crítico persistente,False,False,Elegível
RA-331,3,3,-1,Com defasagem,3.5,7.735353535333334,8.751,8.755,6.09375,5.62,6.231045707066668,Ágata,0.8920251464163784,107,89.94,25,88.63,Alta,Crítico persistente,False,False,Elegível
RA-908,0,1,-1,Com defasagem,4.75,8.14171123,8.502,7.51,7.1875,6.83,6.764292246,Ágata,0.8912245511047763,108,89.85,31,84.69,Alta,Crítico persistente,False,False,Elegível
RA-1493,2,0,-1,Com defasagem,4.0,7.8468899525,8.502,7.51,7.1875,5.946666667,6.378661323900001,Ágata,0.8911466719393293,109,89.75,25,87.03,Alta,Crítico persistente,False,False,Elegível
RA-752,2,2,-1,Com defasagem,5.75,7.525879916999999,9.502,7.51,5.9375,5.613333333,6.57279265,Ágata,0.8901791511265115,110,89.66,26,86.49,Alta,Crítico persistente,False,False,Elegível
RA-1031,1,1,-1,Com defasagem,6.25,8.6363636365,9.502,7.51,5.3125,5.83,6.8757227273,Ágata,0.8891894608554208,111,89.56,27,85.95,Alta,Crítico persistente,False,False,Elegível
RA-1550,3,0,-1,Com defasagem,4.333333333333333,5.222222222,9.585,7.51,7.03125,6.2025,6.064236111066667,Ágata,0.8864455753203327,112,89.47,26,88.15,Alta,Crítico persistente,False,False,Elegível
RA-1366,0,0,-1,Com defasagem,6.5,6.6032608695,9.002,7.51,7.5,6.99,6.919852173900001,Ágata,0.8859184299360888,113,89.37,32,84.18,Alta,Crítico persistente,False,False,Elegível
RA-1517,3,0,-1,Com defasagem,4.666666666666667,4.305555555666667,9.168,9.38,7.5,6.7075,6.240744444466667,Ágata,0.8846760876529508,114,89.28,27,87.68,Alta,Crítico persistente,False,False,Elegível
RA-1143,3,3,-3,Com defasagem,3.1666666666666665,5.201336675,9.585,9.38,7.03125,6.79,5.881225668333334,Quartzo,0.8830911286272801,115,89.18,28,87.2,Alta,Crítico persistente,False,False,Elegível
RA-1111,3,1,1,Sem defasagem,5.0,4.600414078666667,6.249,7.5,6.5625,5.824,6.116032815733334,Ágata,0.8826346244154731,116,89.09,29,86.73,Alta,Risco oculto,True,False,Elegível
RA-771,0,2,-1,Com defasagem,6.5,6.619047619,8.502,3.135,5.625,6.08,6.066009523800001,Ágata,0.8813805630571275,117,88.99,33,83.67,Alta,Crítico persistente,False,False,Elegível
RA-1339,0,0,-1,Com defasagem,8.75,10.0,8.502,6.885,5.0,5.33,7.3547,Ametista,0.8800199805119757,118,88.9,34,83.16,Alta,Crítico persistente,False,False,Elegível
RA-1342,0,0,-1,Com defasagem,9.0,9.761904762,9.502,7.51,7.5,5.575,7.8185809524,Ametista,0.8794278360738027,119,88.8,35,82.65,Alta,Crítico persistente,False,False,Elegível
RA-1524,3,0,-1,Com defasagem,4.0,2.777777777666667,7.917,7.51,7.65625,6.9175,5.5473805555333335,Quartzo,0.8784082823536061,120,88.71,30,86.26,Alta,Crítico persistente,False,False,Elegível
RA-1496,2,0,0,Sem defasagem,4.25,5.714285714500001,9.002,7.51,7.8125,6.773333333,6.7799738095,Ágata,0.8764334049823498,121,88.61,27,85.95,Alta,Risco oculto,True,False,Elegível
RA-1359,0,0,0,Sem defasagem,6.0,9.0,8.502,5.635,5.625,6.17,7.2102,Ametista,0.8762578810413749,122,88.52,36,82.14,Alta,Risco oculto,True,True,Elegível
