RA,FASE_NUM,TEMPO_PROGRAMA,IDA,IEG,IAA_MODELO,IPS,IPV,PROB_RISCO_2025,RANK_RISCO_2025,PERCENTIL_RISCO_2025,RANK_RISCO_FASE_2025,PERCENTIL_RISCO_FASE_2025,PRIORIDADE_2025,STATUS_MODELO,MOTIVO_NAO_ELEGIBILIDADE
RA-1540,3,0,2.6666666666666665,5.0,8.334,7.51,6.83,0.8683082375135023,133,87.48,35,83.89,Alta,Elegível,
RA-1371,0,0,4.5,6.9782608695,7.502,7.51,7.5,0.8681922985202672,134,87.38,41,79.59,Alta,Elegível,
RA-924,0,1,7.0,4.598930481,7.002,7.51,7.415,0.8677722004579758,135,87.29,42,79.08,Alta,Elegível,
RA-981,0,1,6.0,7.010869565,9.002,6.26,6.99,0.8677595547954702,136,87.19,43,78.57,Alta,Elegível,
RA-1442,1,0,7.25,8.674948240500001,8.002,7.51,5.745,0.8671665093823148,137,87.1,29,84.86,Alta,Elegível,
RA-584,3,3,4.333333333333333,5.636363636333333,8.751,8.755,6.37,0.8669495135412489,138,87.0,36,83.41,Alta,Elegível,
RA-381,3,3,3.6666666666666665,6.133333333333333,8.334,7.51,6.1225,0.8669196236605583,139,86.91,37,82.94,Alta,Elegível,
RA-1070,1,1,2.25,9.3073593075,9.002,5.635,6.6225,0.8668290556818131,140,86.81,30,84.32,Alta,Elegível,
RA-1483,2,0,6.5,7.913043478500001,9.502,7.51,5.7475,0.8659886326891927,141,86.72,29,84.86,Alta,Elegível,
RA-821,2,2,4.25,5.9166666665,8.502,7.51,6.713333333,0.8659665931769606,142,86.62,30,84.32,Alta,Elegível,
RA-1546,3,0,4.666666666666667,6.374643874666667,8.334,8.75,6.17,0.8658435459250864,143,86.53,38,82.46,Alta,Elegível,
RA-1321,0,0,8.75,8.875,9.002,6.885,5.915,0.8655382147794474,144,86.43,44,78.06,Alta,Elegível,
RA-1318,0,0,5.0,7.6871657755,8.502,7.51,7.33,0.8645335030932539,145,86.34,45,77.55,Alta,Elegível,
RA-1100,3,1,4.666666666666667,7.1000000000000005,7.5,7.51,5.6175,0.8634792104363963,146,86.24,39,81.99,Alta,Elegível,
RA-1435,1,0,7.5,7.833333333500001,9.502,7.51,6.165,0.8618854819422284,147,86.15,31,83.78,Alta,Elegível,
RA-549,2,3,5.75,7.204968943999999,10.002,6.255,5.9125,0.8602951115696325,148,86.05,31,83.78,Alta,Elegível,
RA-1106,3,1,0.0,5.4312354313333335,8.334,7.51,7.5,0.8588603808304226,149,85.96,40,81.52,Alta,Elegível,
RA-1521,3,0,3.1666666666666665,6.157902555,7.5,2.51,5.4525,0.8585999338843693,150,85.86,41,81.04,Alta,Elegível,
RA-1170,3,1,3.5,5.565079365,9.168,8.13,6.7475,0.8583581173830217,151,85.77,42,80.57,Alta,Elegível,
RA-542,3,3,3.9333333333333336,6.481366459666667,8.751,8.13,6.232,0.858267000989323,152,85.67,43,80.09,Alta,Elegível,
RA-1323,0,0,7.0,9.0833333335,10.002,7.51,6.66,0.8577809128251692,153,85.58,46,77.04,Alta,Elegível,
RA-1347,0,0,5.0,8.7857142855,8.502,2.51,6.165,0.8573890719362527,154,85.48,47,76.53,Alta,Elegível,
RA-1488,2,0,3.5,7.111801242,8.002,7.51,6.716666667,0.8573566898037367,155,85.39,32,83.24,Alta,Elegível,
RA-699,1,2,6.5,7.727272727000001,6.334,6.26,5.833333333,0.8567126289598149,156,85.29,32,83.24,Alta,Elegível,
RA-1298,0,0,6.75,6.643356643500001,9.502,7.51,7.393333333,0.8556762530082459,157,85.2,48,76.02,Alta,Elegível,
RA-458,3,3,4.0,3.739682539666666,8.751,6.88,6.83,0.8529497135833952,158,85.1,44,79.62,Alta,Elegível,
RA-538,3,2,6.166666666666667,7.668803418666666,8.751,7.51,5.292,0.852860653419631,159,85.01,45,79.15,Alta,Elegível,
RA-1082,2,1,3.75,7.5714285715,7.502,10.0,6.943333333,0.8527617849154249,160,84.91,33,82.7,Alta,Elegível,
RA-402,4,3,4.166666666666667,3.074074074,7.5,6.26,6.1175,0.8519806767821881,161,84.82,3,98.26,Muito alta,Elegível,
RA-1299,0,0,6.5,7.638888889,8.502,7.51,7.11,0.8515680865061276,162,84.72,49,75.51,Alta,Elegível,
RA-1326,0,0,4.5,9.2916666665,9.002,7.51,7.245,0.8503556134355394,163,84.63,50,75.0,Alta,Elegível,
RA-820,2,2,6.25,6.573529412,10.002,7.51,6.386666667,0.848798038159979,164,84.54,34,82.16,Alta,Elegível,
RA-1594,4,0,3.0,6.112836439,9.585,6.26,5.996,0.847298896616,165,84.44,4,97.39,Muito alta,Elegível,
RA-725,0,2,7.25,7.6710526315,7.502,7.51,6.773333333,0.845018291216475,166,84.35,51,74.49,Alta,Elegível,
RA-1289,0,0,7.75,9.4444444445,7.002,7.51,6.166666667,0.8447884145294805,167,84.25,52,73.98,Alta,Elegível,
RA-631,3,2,4.166666666666667,7.212200435666666,8.334,8.75,6.245,0.8444686183514608,168,84.16,46,78.67,Alta,Elegível,
RA-340,3,3,5.166666666666667,6.585769980666666,7.917,7.51,5.83,0.8443918781894745,169,84.06,47,78.2,Alta,Elegível,
RA-1494,2,0,4.25,6.7794117645,0.0,7.51,5.84,0.8440935718844609,170,83.97,35,81.62,Alta,Elegível,
RA-756,0,2,5.5,8.75,10.002,7.51,7.24,0.8437155210144994,171,83.87,53,73.47,Alta,Elegível,
RA-1444,1,0,6.0,5.277777778,8.502,7.51,7.415,0.8430675462325211,172,83.78,33,82.7,Alta,Elegível,
RA-1329,0,0,6.5,10.0,9.502,7.51,6.66,0.8425952368145091,173,83.68,54,72.96,Alta,Elegível,
RA-1341,0,0,10.0,9.246031746,10.002,7.51,6.0,0.8425010719218881,174,83.59,55,72.45,Alta,Elegível,
RA-1377,0,0,5.5,10.0,9.002,8.13,6.99,0.8422460215209782,175,83.49,56,71.94,Alta,Elegível,
RA-719,1,3,6.5,7.3484848485,10.002,7.51,6.7425,0.8419485305901466,176,83.4,34,82.16,Alta,Elegível,
RA-989,1,1,6.0,7.857142856999999,9.502,6.26,6.54,0.8407622432745723,177,83.3,35,81.62,Alta,Elegível,
RA-1497,2,0,2.0,5.0227272725,0.0,7.51,6.996666667,0.8396072241892043,178,83.21,36,81.08,Alta,Elegível,
RA-1073,3,2,6.5,6.370972886666667,9.168,7.5,5.7875,0.8390376084414574,179,83.11,48,77.73,Alta,Elegível,
RA-1098,3,1,3.5,5.822406257,8.751,7.51,6.7475,0.8387572136745229,180,83.02,49,77.25,Alta,Elegível,
RA-1477,2,0,5.0,8.010869565,8.002,7.51,6.2875,0.8385579273782199,181,82.92,37,80.54,Alta,Elegível,
RA-1505,2,0,3.75,7.5252525255,9.502,7.51,6.943333333,0.8379033482510703,182,82.83,38,80.0,Alta,Elegível,
RA-1356,0,0,5.5,9.4444444445,9.002,7.51,7.085,0.8376899378283311,183,82.73,57,71.43,Alta,Elegível,
RA-1331,0,0,7.25,7.291666666499999,9.002,7.51,7.245,0.8366711827137424,184,82.64,58,70.92,Alta,Elegível,
RA-1354,0,0,6.0,8.3636363635,9.502,7.51,7.335,0.8363018670556362,185,82.54,59,70.41,Alta,Elegível,
RA-496,3,3,5.666666666666667,5.315995871999999,10.002,6.255,6.1625,0.8361620122329135,186,82.45,50,76.78,Alta,Elegível,
RA-474,3,3,3.0,5.818518518666667,9.168,7.51,6.8725,0.8360183731177178,187,82.35,51,76.3,Alta,Elegível,
RA-1345,0,1,6.25,9.4590643275,8.502,7.51,6.83,0.8330390295401422,188,82.26,60,69.9,Alta,Elegível,
RA-1515,2,0,3.5,6.6666666665,6.418,6.255,6.72,0.8324899154381734,189,82.16,39,79.46,Alta,Elegível,
RA-1549,3,0,4.166666666666667,7.441394335666668,9.585,7.51,6.325,0.8320611082304391,190,82.07,52,75.83,Alta,Elegível,
RA-773,0,2,5.0,8.75,10.002,2.51,6.575,0.8310685193177989,191,81.97,61,69.39,Alta,Elegível,
RA-1160,3,1,3.1666666666666665,8.201288245,8.751,7.51,6.2475,0.8307059865161549,192,81.88,53,75.36,Alta,Elegível,
RA-387,3,3,4.333333333333333,7.166666666666667,7.5,7.51,5.9975,0.830531092530971,193,81.78,54,74.88,Alta,Elegível,
RA-1129,3,1,6.833333333333333,7.137254902,9.168,8.13,5.745,0.8300731147239018,194,81.69,55,74.41,Alta,Elegível,
RA-594,2,2,7.0,5.75,6.918,6.26,6.053333333,0.8291780760485001,195,81.59,40,78.92,Alta,Elegível,
RA-1006,0,1,5.0,8.4444444445,8.502,7.51,7.5,0.8289463405124237,196,81.5,62,68.88,Alta,Elegível,
RA-1532,3,0,2.0,3.905723905333333,0.0,7.51,6.832,0.8287661121835583,197,81.4,56,73.93,Alta,Elegível,
RA-972,0,1,6.75,8.3863636365,9.502,7.51,7.17,0.8285715414061732,198,81.31,63,68.37,Alta,Elegível,
RA-797,2,3,7.25,4.840909091,9.168,7.51,6.723333333,0.8271202541610426,199,81.21,41,78.38,Alta,Elegível,
